Period,HS_Commodity,Trade_Flow,Reporter_Country,Partner_Country,CIF_Value_USD,FOB_Value_USD,Net_Weight_Kg,Quantity_Units,Unit_Value,HS_Level
Dec 2022,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,2791634794.0,3366220.0,30.0,829.3084807288801,4.0
Feb 2020,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,3290160015.0,2520000.0,30.0,1305.6190535709106,4.0
Jan 2020,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,220800002.0,192000.0,30.0,1150.000010410677,4.0
Jan 2021,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,422400004.0,384000.0,30.0,1100.000010413802,4.0
Jan 2023,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,3420002.0,18570.0,10.0,184.16812061474596,4.0
Jul 2020,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,1827839993.0,1155200.0,30.0,1582.2714620831175,4.0
Jul 2020,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,35000002.0,35000.0,10.0,1000.0000571142856,4.0
Jul 2021,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,762239998.0,576000.0,30.0,1323.3333298588136,4.0
Jul 2023,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,718563295.0,84703670.0,30.0,8.483260465573588,4.0
Jul 2025,2609 - Tin ores and concentrates.,Total Imports,DR Congo,European Union All Countries,0.0,0.0,21500.0,30.0,0.0,4.0
Jul 2025,2609 - Tin ores and concentrates.,Total Imports,DR Congo,SADC,0.0,0.0,120930.0,400.0,0.0,4.0
Jun 2020,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,362339993.0,594000.0,30.0,609.9999882144613,4.0
Jun 2021,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,871680.0,768000.0,30.0,1.134999999998522,4.0
Jun 2022,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,6538371357.0,6661460.0,30.0,981.522272444632,4.0
Mar 2020,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,320639999.0,192000.0,30.0,1669.9999947829688,4.0
Mar 2021,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,4622899995.0,3672000.0,30.0,1258.9596936271082,4.0
Mar 2023,2609 - Tin ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,9472557083.0,106823940.0,30.0,88.6744776779429,4.0
Mar 2023,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,53222769.0,606880.0,30.0,87.69899980212283,4.0
May 2020,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,1107839997.0,576000.0,30.0,1923.3333281216608,4.0
May 2020,2609 - Tin ores and concentrates.,Total Imports,DR Congo,SADC,115935605.0,0.0,100.0,30.0,1159356.0384064396,4.0
May 2022,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,8206771345.0,80131210.0,30.0,102.41666567870244,4.0
May 2022,2609 - Tin ores and concentrates.,Total Imports,DR Congo,SADC,116737366.0,0.0,216590.0,415800.0,538.978558564389,4.0
Nov 2020,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,1808640002.0,1920000.0,30.0,942.000001041176,4.0
Nov 2021,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,168421301.0,4430.0,20.0,38018.35236162114,4.0
Nov 2021,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,88744099.0,3000.0,300.0,29581.36632347288,4.0
Nov 2022,2609 - Tin ores and concentrates.,Total Exports,DR Congo,SADC,0.0,374918838.0,46104740.0,30.0,8.131893553677818,4.0
Nov 2023,2609 - Tin ores and concentrates.,Total Exports,DR Congo,ASEAN,0.0,2683753557.0,32779830.0,30.0,81.87210113658058,4.0
Oct 2020,2609 - Tin ores and concentrates.,Total Exports,DR Congo,European Union All Countries,0.0,2230320003.0,1176000.0,30.0,1896.5306147943056,4.0
